EntityId,EntityName,Category,IsBronze,IsEnabled,IsFailed,IsProcessing,MaxProcessedDateTimeUTC,SevenDayAvgProcessedTimeUTC,ChildEntitiesJSON
32,c_brown_data_prod.sap_crm.t_zav_gr_gus_daty,bronze,1,1,0,0,2024-02-05 20:13:42.4118725,,"[{""ChildEntityId"":71,""ChildIsRequired"":false}]"
33,c_brown_data_prod.sap_crm.t_zav_gr_gus_pkd,bronze,1,1,0,0,2024-02-05 20:13:51.3029939,,"[{""ChildEntityId"":71,""ChildIsRequired"":false}]"
34,c_brown_data_prod.sap_crm.t_zconcessi_cnt_pl,bronze,1,1,0,0,2024-02-15 03:06:36.4680758,03:06:17,"[{""ChildEntityId"":63,""ChildIsRequired"":true},{""ChildEntityId"":66,""ChildIsRequired"":true}]"
35,c_brown_data_prod.sap_crm.t_zcv_banner_pl,bronze,1,1,0,0,2024-02-15 03:06:29.3117892,03:06:13,"[{""ChildEntityId"":68,""ChildIsRequired"":true}]"
36,c_brown_data_prod.sap_crm.t_zcv_blockade_pl,bronze,1,1,0,0,2024-02-15 03:06:01.4833173,03:06:38,"[{""ChildEntityId"":65,""ChildIsRequired"":true}]"
37,c_brown_data_prod.sap_crm.t_zcv_concessions,bronze,1,1,0,0,2024-02-15 03:07:14.4059790,03:06:39,"[{""ChildEntityId"":67,""ChildIsRequired"":true}]"
38,c_brown_data_prod.sap_crm.t_zdominuj_zabu_dw,bronze,1,1,0,0,2024-01-11 19:38:01.5930977,,"[{""ChildEntityId"":72,""ChildIsRequired"":false}]"
39,c_brown_data_prod.sap_crm.t_zdystans_poi_dw,bronze,1,1,0,0,2024-01-11 19:38:01.5930977,,"[{""ChildEntityId"":68,""ChildIsRequired"":false}]"
40,c_brown_data_prod.sap_crm.t_zgeolokalizac_dw,bronze,1,1,0,0,2024-01-11 19:38:01.5930977,,"[{""ChildEntityId"":68,""ChildIsRequired"":false}]"
41,c_brown_data_prod.sap_crm.t_zgr_lis_attr_gus,bronze,1,1,0,0,2024-02-05 20:13:27.0516302,,"[{""ChildEntityId"":71,""ChildIsRequired"":false}]"
42,c_brown_data_prod.sap_crm.t_zgr_lis_with_att,bronze,1,1,0,0,2024-02-15 03:07:34.3593312,03:07:08,"[{""ChildEntityId"":63,""ChildIsRequired"":true},{""ChildEntityId"":64,""ChildIsRequired"":true},{""ChildEntityId"":65,""ChildIsRequired"":true}]"
43,c_brown_data_prod.sap_crm.t_zliczba_poi_dw,bronze,1,1,0,0,2024-01-11 19:38:01.5930977,,"[{""ChildEntityId"":72,""ChildIsRequired"":false}]"
44,c_brown_data_prod.sap_crm.t_zlic_miej_pra_dw,bronze,1,1,0,0,2024-01-11 19:38:01.5930977,,"[{""ChildEntityId"":72,""ChildIsRequired"":false}]"
45,c_brown_data_prod.sap_crm.t_zmetraz_sieci_ec,bronze,1,1,0,0,2024-01-11 19:38:01.5930977,,"[{""ChildEntityId"":67,""ChildIsRequired"":false},{""ChildEntityId"":68,""ChildIsRequired"":false}]"
